iter,run_dir,agent,mcp_share,mcp_steroid_calls,native_calls,tokens_input,tokens_output,tokens_cache_read,tokens_cache_creation,tokens_total,calls_total,exec_code_calls,exec_code_lines_avg,exec_code_lines_max,native_edit_calls,fetch_resource_calls,retries,errors,apply_patch_called,apply_patch_hunks
iter-01,/Users/jonnyzzz/Work/mcp-steroid/test-experiments/build/test-logs/test/run-20260422-230121-dpaia__spring__petclinic__rest-37-mcp,claude-code,0.091,1,10,26,439,618170,75546,694181,11,1,17.0,17,2,0,0,0,0,0
iter-02,/Users/jonnyzzz/Work/mcp-steroid/test-experiments/build/test-logs/test/run-20260422-231251-dpaia__spring__petclinic__rest-37-mcp,claude-code,0.091,1,10,27,400,654833,71493,726753,11,1,17.0,17,2,0,0,0,0,0
iter-03,/Users/jonnyzzz/Work/mcp-steroid/test-experiments/build/test-logs/test/run-20260422-232102-dpaia__spring__boot__microshop-2-mcp,claude-code,0.028,2,69,330,637,2481058,214552,2696577,71,2,13.0,15,8,0,0,4,0,0
iter-04,/Users/jonnyzzz/Work/mcp-steroid/test-experiments/build/test-logs/test/run-20260422-232924-dpaia__spring__boot__microshop-2-mcp,claude-code,0.025,1,39,63,904,1793906,91745,1886618,40,1,15.0,15,8,0,0,0,0,0
iter-05,/Users/jonnyzzz/Work/mcp-steroid/test-experiments/build/test-logs/test/run-20260422-233631-dpaia__spring__boot__microshop-2-mcp,claude-code,0.026,1,37,59,731,1717770,102819,1821379,38,1,15.0,15,8,0,0,0,0,0
iter-06,/Users/jonnyzzz/Work/mcp-steroid/test-experiments/build/test-logs/test/run-20260422-234402-dpaia__feature__service-125-mcp,claude-code,0.027,2,71,219,1400,7648344,362435,8012398,73,2,13.5,17,7,0,0,1,0,0
iter-07,/Users/jonnyzzz/Work/mcp-steroid/test-experiments/build/test-logs/test/run-20260423-074538-dpaia__feature__service-125-mcp,codex,0.075,3,37,1744023,16825,1528192,0,3289040,40,3,9.0,17,18,0,1,6,0,0
iter-08,./test-experiments/build/test-logs/test/run-20260423-080715-dpaia__spring__petclinic__rest-3-mcp/,claude-code,0.051,2,37,67,1012,3221969,196263,3419311,39,2,14.0,18,9,0,0,0,0,0
iter-09,test-experiments/build/test-logs/test/run-20260423-081745-dpaia__spring__petclinic__rest-3-mcp/,claude-code,0.046,3,62,263,800,4278372,341812,4621247,65,3,123.3,342,1,0,0,2,1,26
iter-10,test-experiments/build/test-logs/test/run-20260423-083118-dpaia__feature__service-125-mcp/,claude-code,0.041,3,70,190,1707,6947980,336468,7286345,73,3,45.0,109,7,0,0,2,1,5
iter-11,test-experiments/build/test-logs/test/run-20260423-084728-dpaia__feature__service-125-mcp/,claude-code,0.029,2,67,227,1399,5094758,288988,5385372,69,2,14.5,17,4,0,0,1,0,0
iter-12,test-experiments/build/test-logs/test/run-20260423-090416-dpaia__spring__boot__microshop-2-mcp/,claude-code,0.045,2,42,59,2062,1777379,93360,1872860,44,2,35.0,55,8,0,0,1,1,8
iter-13,test-experiments/build/test-logs/test/run-20260423-094307-dpaia__feature__service-125-mcp/,claude-code,0.06,3,47,93,1258,6189012,328308,6518671,50,2,15.0,21,3,0,0,2,1,3
iter-14,test-experiments/build/test-logs/test/run-20260423-100238-dpaia__feature__service-125-mcp/,claude-code,0.041,3,70,219,1374,5853597,377933,6233123,73,2,14.0,17,3,0,0,2,1,2
iter-15,test-experiments/build/test-logs/test/run-20260423-101656-dpaia__spring__petclinic__rest-3-mcp/,claude-code,0.1,3,27,55,549,2478296,213148,2692048,30,2,13.5,17,1,0,0,0,1,26
iter-16,test-experiments/build/test-logs/test/run-20260423-102456-dpaia__spring__petclinic__rest-3-mcp/,codex,0.087,2,21,1058002,10649,884608,0,1953259,23,2,11.0,17,8,0,0,2,0,0
iter-17,test-experiments/build/test-logs/test/run-20260423-103143-dpaia__spring__boot__microshop-2-mcp/,claude-code,0.043,3,66,3864,1306,2423717,180176,2609063,69,2,13.0,15,0,0,0,2,1,8
